noise_level,living_conditions,safety,basic_needs,Environmental factor_score
2,-3,-3,-4,-0.3053230144375743
3,-5,-4,-4,-0.8805620148754045
2,-4,-3,-4,-0.566569889086705
4,-4,-4,-4,-0.2773265746021514
3,-4,-2,-3,0.5751106069887025
3,-4,-4,-5,-1.024273253913867
1,-2,-2,-2,0.8185853387263118
3,-5,-5,-5,-1.6802539453266894
3,-3,-3,-3,0.4416236648741414
0,-1,-4,-4,-0.8615402131512497
4,-4,-5,-5,-1.0770185050534364
5,-4,-5,-5,-0.735029939429314
2,-3,-1,-1,1.699018960152589
1,-4,-2,-3,-0.10886652425954242
1,-3,-2,-2,0.5573384640771814
2,-4,-4,-4,-0.9613037058503967
1,-2,-1,-2,1.2133191554900034
2,-2,-1,-2,1.5553077211141262
3,-4,-3,-3,0.18037679022501124
4,-5,-4,-5,-0.9435315629388749
1,-3,-1,-2,0.9520722808408727
5,-5,-5,-4,-0.5913187003908509
1,-3,-1,-1,1.3570303945284663
4,-4,-5,-4,-0.6720603913658431
3,-4,-4,-3,-0.21435702653868038
2,-2,-1,-2,1.5553077211141262
3,-4,-4,-5,-1.024273253913867
5,-5,-4,-1,1.0182894574356214
3,-3,-4,-3,0.04688984811045007
5,-5,-5,-5,-0.9962768140784442
2,-2,-1,-2,1.5553077211141262
1,-3,-4,-1,0.1728289442373918
5,-4,-5,-4,-0.33007182574172067
2,-3,-3,-4,-0.3053230144375743
1,-2,-1,-1,1.6182772691775968
3,-3,-3,-3,0.4416236648741414
2,-3,-4,-3,-0.29509871751367256
2,-2,-2,-1,1.565532018038028
5,-5,-4,-5,-0.6015429973147526
1,-2,-2,-2,0.8185853387263118
2,-2,-1,-1,1.9602658348017195
2,-2,-2,-1,1.565532018038028
2,-3,-2,-1,1.3042851433888976
3,-4,-5,-5,-1.4190070706775586
5,-4,-4,-4,0.06466199102197123
1,-2,-1,-2,1.2133191554900034
4,-4,-4,-5,-0.6822846882897448
1,-2,-1,-1,1.6182772691775968
3,-3,-4,-4,-0.3580682655771436
1,-2,-2,-1,1.2235434524139055
1,-3,-1,-1,1.3570303945284663
2,-4,-3,-3,-0.1616117753991117
1,-2,-2,-1,1.2235434524139055
4,-5,-5,-5,-1.3382653797025665
3,-3,-4,-4,-0.3580682655771436
3,-3,-3,-3,0.4416236648741414
2,-3,-4,-4,-0.7000568312012659
1,-3,-2,-2,0.5573384640771814
1,-3,-2,-2,0.5573384640771814
1,-2,-2,-1,1.2235434524139055
1,-2,-2,-2,0.8185853387263118
1,-2,-2,-1,1.2235434524139055
