维度,变量名 (Variable),均值 (Mean),标准差 (Std. Dev.),最小值 (Min),最大值 (Max)
心理,anxiety_level,11.063636363636364,6.117558185828904,0.0,21.0
心理,self_esteem,12.222727272727273,8.944599064677352,0.0,30.0
心理,depression,12.555454545454545,7.727008355046028,0.0,27.0
生理,headache,2.5081818181818183,1.4093559611853959,0.0,5.0
生理,blood_pressure,2.1818181818181817,0.833574564582657,1.0,3.0
生理,sleep_quality,3.34,1.5483825838673264,1.0,6.0
生理,breathing_problem,2.7536363636363634,1.400713276814644,0.0,5.0
学业,academic_performance,3.227272727272727,1.414593707664238,1.0,6.0
学业,study_load,2.5804545454545456,1.183996168472851,0.5,4.5
学业,teacher_student_relationship,3.351818181818182,1.3845785119378664,1.0,6.0
学业,future_career_concerns,2.649090909090909,1.5293754162083746,0.0,5.0
社交,social_support,4.118181818181818,1.0478264533233665,3.0,6.0
社交,peer_pressure,2.7345454545454544,1.4252650960184092,0.0,5.0
社交,extracurricular_activities,3.232727272727273,1.417562344687301,1.0,6.0
社交,bullying,2.617272727272727,1.53095800387489,0.0,5.0
环境,noise_level,2.649090909090909,1.3281268462931117,0.0,5.0
环境,living_conditions,3.481818181818182,1.1192079139003541,1.0,6.0
环境,safety,3.2627272727272727,1.4061711830285162,1.0,6.0
环境,basic_needs,3.227272727272727,1.4337609438834202,1.0,6.0
背景与结果,mental_health_history,0.49272727272727274,0.5001745083837833,0.0,1.0
背景与结果,stress_level,0.9963636363636363,0.8216726845260947,0.0,2.0
